Mesta,Latitude,Longitude,Koristi se,Ne koristi se,Nepoznato,Ukupno
Bačka Topola,45.8144238,19.6379551,1,0,0,1
Subotica,46.1005467,19.6650593,19,0,0,19
Kikinda,45.8272842,20.4615173,6,0,0,6
Senta,45.9260128,20.0780937,6,1,0,7
Zrenjanin,45.3815612,20.3685737,13,0,0,13
Sombor,45.773295,19.1151469,14,0,0,14
Bela Crkva,44.9018213,21.4232908,3,0,0,3
Kovačica,45.1071651,20.6595515,1,0,0,1
Vršac,45.1181926,21.2944883,4,2,0,6
Pančevo,44.874,20.6475673,14,0,0,14
Novi Sad,45.2671352,19.8335496,98,5,6,103
Sremska Kamenica,45.2208633,19.8470699,48,8,0,56
Bečej,45.6138162,20.0459853,1,0,0,1
Temerin,45.415745,19.8931066,1,0,0,1
Bačka Palanka,45.2497275,19.3967698,0,1,0,1
Vrbas,45.5701534,19.6449683,16,0,0,16
Inđija,45.0485391,20.0808092,1,0,0,1
Ruma,45.00806,19.82222,1,0,0,1
Vrdnik,45.1287251,19.7897422,1,0,0,1
Irig,45.1011851,19.8616812,1,0,0,1
Sremska Mitrovica,44.9794968,19.6209662,8,1,0,9
Barajevo,44.6034915,20.45241,1,0,0,1
Beograd,44.786568,20.4489216,430,30,0,460
Loznica,44.5313463,19.2067663,5,1,0,6
Šabac,44.7488612,19.6907882,5,1,0,6
Valjevo,44.2743141,19.8903398,9,0,0,9
Smederevska Palanka,44.367191,20.9604515,3,0,0,3
Smederevo,44.6658941,20.9335169,10,0,0,10
Petrovac,44.37366517,21.41833166,2,0,0,2
Kučevo,44.4766526,21.6742577,1,0,0,1
Požarevac,44.6208353,21.1842054,8,0,0,8
Aranđelovac,44.3082168,20.5562765,4,0,0,4
Kragujevac,44.0127932,20.9114225,35,2,3,40
Svilajnac,44.24984,21.2008216,1,0,0,1
Paraćin,43.858616,21.403911,3,0,0,3
Jagodina,43.9777294,21.2572719,4,0,0,4
Ćuprija,43.925537,21.3748327,7,2,0,9
Bor,44.0698918,22.0985086,3,2,0,5
Kladovo,44.6035552,22.6098737,1,1,0,2
Negotin,44.2288747,22.5310674,2,1,0,3
Majdanpek,44.4191965,21.9495234,2,0,0,2
Zaječar,43.9015048,22.2738011,8,0,0,8
Knjaževac,43.5660829,22.2466754,3,0,0,3
Bajina Bašta,43.9705397,19.5649108,1,0,0,1
Nova Varoš,43.4676913,19.8125507,3,0,0,3
Požega,45.8461,20.0365,3,0,0,3
Priboj,43.5827565,19.5266606,3,0,0,3
Sjenica,43.2741145,20.0032054,1,0,0,1
Užice,43.8555729,19.842471,2,0,0,2
Čajetina,43.7504777,19.7142007,1,0,0,1
Priboj,43.5827565,19.5266606,2,0,0,2
Prijepolje,43.3893574,19.6463666,2,0,0,2
Užice,43.8555729,19.842471,10,3,0,13
Čačak,43.8914144,20.3501652,16,1,0,17
Gornji Milanovac,44.0207262,20.4633133,1,0,0,1
Novi Pazar,43.1406976,20.5213617,3,0,0,3
Kraljevo,43.7238483,20.6872542,10,0,0,10
Kruševac,43.5763232,21.3335812,6,0,0,6
Niš,43.3209022,21.8957589,43,2,0,45
Aleksinac,43.5409901,21.7183695,1,0,0,1
Prokuplje,43.2367913,21.5915831,4,6,0,4
Babušnica,43.0638347,22.4061647,1,0,0,1
Pirot,43.1557012,22.5856811,7,0,0,7
Leskovac,42.9963758,21.944034,7,0,0,7
Vranje,42.5450345,21.9002712,13,0,0,13
Surdulica,42.6907233,22.1720303,1,0,0,1
Preševo,42.3091712,21.6498686,2,0,0,2
Kosovska Mitrovica,42.8913909,20.8659995,7,2,0,9
Gračanica,42.6014008,21.1918761,1,0,0,1